Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Bubble1	Bubble2	Bubble3	Twi4d_1	Twi4d_2	Twi4d_3	Twihead_1	Twihead_2	Twihead_3	WT4d_1	WT4d_2	WT4d_3	WThead_1	WThead_2	WThead_3
NV2.22	42.7823732142507	3.18482613257039	0.437508779090202	4.99378809520972	5.92063581174255e-07	4.00555270526847e-06	9.92737137521858	15.7673665576897	3.13679166962102	88.9238713635354	79.523869250737	61.8922287949741	10.7702642884437	18.429538351632	18.2363831218118	86.4371899450935	75.8551452695703	86.5128987789918	30.6573264040391	27.8461201069557	27.8192329354469
NV2.27	473.771419919049	-1.70732675082699	0.182104617577733	-3.88417800841904	0.000102676664231134	0.000545980016497216	538.559897105608	484.846521648957	487.771104626069	295.853634913901	290.649185845614	176.105723169205	1091.02777241935	884.617840878334	865.79399868792	152.389265510136	153.460793891515	156.415320992417	518.38751919557	539.684327787189	471.008392113945
NV2.29	838.915669288946	-1.60451796380802	0.105154075389654	-5.7488781254359	8.98375430415355e-09	7.17892383559748e-08	1374.94093546777	1326.42971166564	1358.2307929459	411.622448575862	392.693088866471	315.841786118682	1016.71294882909	911.647830460727	901.398365735267	477.652910910459	416.619797865179	439.485525797279	1098.08969119922	1055.50055262556	1086.86865227108
NV2.32	464.89671383817	2.31011390254731	0.135681747261949	9.65578590330202	4.64583187189795e-22	8.37551467611052e-21	143.946884940669	179.35379459372	174.091937663967	651.549120368042	684.749776822718	798.218332190852	247.716078634205	222.383096109692	220.573395854295	863.372625578738	802.314036505071	821.526486805306	372.068461358111	420.343813043093	371.242867104067
NV2.33	31.7556320842252	-3.86777002234374	0.541532234275318	-5.29565894850454	1.18587988877586e-07	8.5898031229304e-07	29.7821141256557	45.3311788533578	26.6627291917787	17.3373585677333	15.4825232169577	8.93289900133647	94.7783257383047	124.092224900988	104.20790355321	3.49745855269165	0.583501117458233	2.76841276092774	0	0	2.87785168297726
NV2.39	18.9794541528575	-4.55646401438206	0.597103522191957	-5.95619332695668	2.5818089674991e-09	2.1471975305538e-08	54.6005425637022	31.5347331153793	39.2098958702628	2.79634815608602	3.51875527658129	5.74257792943059	11.8472907172881	20.8868101318495	15.6311855329815	1.49891080829642	1.16700223491647	2.76841276092774	30.6573264040391	22.5420972294403	40.2899235616817
NV2.40	86.7458625496937	-3.68445665865661	0.361704511656108	-7.42168419842345	1.1564028222256e-13	1.30534302842755e-12	94.3100280645765	116.284328362961	101.945729262683	18.4558978301677	30.2612953785991	10.2090274300988	131.397224319013	187.981291186646	147.627863367048	4.49673242488926	8.16901564441527	12.4578574241748	135.170939145081	160.44669204484	141.974016360212
NV2.42	508.267987499758	-1.90126040986039	0.110181231694191	-8.17979973541994	2.84315998294645e-16	3.77852721665227e-15	876.09052386304	845.525031656108	824.976209110329	340.595205411277	351.171776602812	427.503023635388	734.532024471861	674.521103669729	662.588586759161	220.339888819574	245.653970449916	214.5519889719	406.906332271792	405.757750129926	393.306396673559
NV2.50	1652.4988951061	-5.04001718013515	0.143977249355751	-28.0601080949445	3.0071164046018e-173	7.19356217864936e-171	4417.68026197227	4160.61385041036	4436.99181667894	243.841559210701	241.386611973476	154.411539880245	1343.05195676893	1250.75133613076	1359.04474217311	142.896163724259	126.036241370978	125.962780622212	2328.56329187042	2141.49923679683	2314.75203700804
NV2.62	2214.25403853042	-7.89281770478929	0.228238697388188	-30.2000396237191	2.36574722094345e-200	7.35707956593063e-198	2898.79244156382	2680.45231480724	2907.80587773869	46.4193793910279	49.262573872138	25.5225685752471	3494.95076159999	3105.99153019504	3028.97639661331	17.4872927634582	9.33601787933173	7.61313509255128	5135.10217267655	4992.41153346134	4813.68658172663
NV2.66	439.925369013365	1.63734916240198	0.129833743951758	4.90896390262605	9.15588274097704e-07	6.05384890375232e-06	176.21084191013	197.092081971121	158.407979315862	786.892371122606	732.604848584224	740.792552896546	277.872818641848	341.560777450245	283.966537182497	508.630400948585	556.076564937696	582.750886175289	438.957173512378	408.409761568684	408.654938982771
NV2.68	136.695755069882	-3.16501546158648	0.289581003809823	-7.47637252824884	7.64021807690381e-14	8.71919444018032e-13	99.2737137521858	118.255249182672	125.471666784841	50.3342668095483	62.6338439231469	30.6270822902965	273.56471292647	308.387608417308	246.625371742597	12.990560338569	10.5030201142482	15.2262701851026	267.554848617069	194.92284074869	234.065270215484
NV2.69	120.702703668522	-3.21530052409221	0.281545391495618	-7.86836009754644	3.59320073042108e-15	4.45781465617866e-14	215.920327411004	143.877219838918	152.13439597662	43.0637616037247	27.446291157334	19.1419264314353	365.111959378242	366.133495252421	312.62371065963	18.9862035717546	15.7545301713723	20.0709925167261	30.6573264040391	45.0841944588807	34.5342201957271
NV2.70	34.1366073256845	-6.01795124312175	0.803950822299787	-6.24161466589133	4.33076779428902e-10	3.8425010115853e-09	27.3002712818511	51.2439413124914	69.0094167316625	7.82977483704085	5.63000844253006	5.10451371504941	130.320197890169	110.577230109792	97.2607099829961	0	2.33400446983293	0	2.78702967309446	2.65201143875769	0
NV2.72	208.155177671318	-4.61007580944931	0.335481056029491	-10.7608931847763	5.26572938014985e-27	1.17668556292474e-25	362.349055195478	307.463647874948	345.047083658313	43.6230312349419	29.5575443232828	8.93289900133647	246.639052205361	264.156716373391	225.783791031955	12.990560338569	12.8370245840811	15.9183733753345	397.151728415961	422.995824481851	426.881332974961
NV2.74	1278.44567594287	-3.12144736608843	0.397802365905001	-5.33291792084275	9.66470041503385e-08	7.04979065848775e-07	1317.85855006027	1432.85943593005	1265.69543869208	354.576946191707	353.986780824077	61.8922287949741	4370.57324825046	4147.8747650073	3946.00594788155	137.899794363271	156.961800596265	166.796868845896	496.091281810814	487.970104731414	479.641947162877
NV2.77	170.528616432598	-3.48968868706605	0.409413574006082	-6.08110928688717	1.19353902914019e-09	1.02769934216552e-08	178.692684753934	195.12116115141	191.344291846882	24.607863773557	21.1125316594877	1.27612842876235	345.725483659043	341.560777450245	369.938057613896	13.9898342107666	19.8390379935799	16.6104765655664	277.309452472899	269.179161033905	291.622303875029
NV2.98	133.528033754288	-6.48336173798601	0.785708906449355	-6.97887180987359	2.9755982215816e-12	3.0624206958903e-11	349.939840976455	348.852985088884	387.393771198197	49.2157275471139	44.3363164849242	1.27612842876235	141.090462178613	146.207670922947	156.311855329815	3.49745855269165	5.83501117458233	2.76841276092774	104.513612741042	120.666520463475	141.014732465886
NV2.103	478.730680819195	-3.54980283938452	0.399936744726899	-6.37551531086667	1.82348770361062e-10	1.66297444094187e-09	469.068297479078	409.951530499931	382.688583693765	115.209544030744	125.97143890161	25.5225685752471	1016.71294882909	1253.20860791097	1185.36490291776	51.4626044181771	28.0080536379952	27.6841276092774	706.512022129446	649.742802495633	733.852179159202
NV2.107	597.379621678118	-6.18166552414599	0.146403493786447	-35.3930455492017	2.1844748294226e-274	1.19882693653519e-271	2769.73661368598	2499.12759939381	2514.13852320125	53.6898845968516	58.4113375912493	42.1122381491577	204.635021480431	203.95355775806	185.837428003225	33.47567471862	37.3440715173269	36.6814690822925	96.152523721759	107.406463269686	117.991919002068
NV2.114	18.5343045477804	-2.41096822134533	0.442978457681347	-3.18518473501096	0.0014466162971176	0.00663693471549481	27.3002712818511	53.2148621322026	29.7995208613997	3.91488741852043	8.44501266379508	3.19032107190588	15.0783700038212	29.4872613626111	21.7099799069188	7.9941909775809	6.41851229204057	6.22892871208741	18.115692875114	21.2160915100615	25.9006651467954
NV2.118	169.260935050148	2.43520290811073	0.221101787644626	6.49114113187322	8.5188627617929e-11	7.96360021404277e-10	71.9734424703347	61.0985454110474	53.3254583835574	389.810932958391	324.429236500794	276.919869041431	63.5445593018179	70.0322457362014	49.4987541877748	340.252753483287	357.686185001897	294.835959038804	57.1341082984365	58.3442516526691	70.02772428578
NV2.119	188.267709144297	1.99243612368929	0.302107752421105	3.28504024056273	0.0010196780732006	0.00477804449217728	69.49159962653	67.011307870181	89.3985625841992	441.823008661591	454.623181734302	190.143135885591	116.318854315192	104.434050659248	142.417468189387	297.28397697879	297.585569903699	310.062229223907	91.9719792121173	68.9522974076998	82.4984149120148
NV2.120	30.416350600908	-3.01753992362071	0.527565584363072	-3.82424476391211	0.00013117355393878	0.000688679612533397	27.3002712818511	63.0694662307586	64.304229227231	20.6929763550365	14.0750211063251	4.46644950066824	48.4661892979967	49.1454356043519	39.9463630287305	7.4945540414821	8.7525167618735	2.76841276092774	23.6897522213029	33.1501429844711	48.9234786106135
NV2.121	822.261031843231	-4.69284914568119	0.152403938541834	-24.2306674027819	1.05733241922533e-129	1.76149692949334e-127	1558.59730590932	1515.63811035792	1333.13645958894	52.5713453344171	64.7450970890956	33.1793391478212	980.094050248378	954.650086614535	883.161982613455	58.9571584596592	53.6821028061575	57.4445647892506	1635.98641810645	1657.50714922355	1494.56430735952
NV2.122	166.498251773003	3.41660783342722	0.309597630031325	7.8056406090147	5.92000592510131e-15	7.22442057269231e-14	52.1186997198975	21.6801290168233	31.3679166962102	230.419088061488	244.201616194741	409.637225632715	62.4675328729735	70.0322457362014	80.7611252537378	391.215720965366	376.35822076056	325.288499409009	57.1341082984365	79.5603431627306	65.2313048141513
NV2.128	257.182594718008	-2.22084945361935	0.287739306546804	-4.24290121593368	2.20648577386542e-05	0.000127345555380621	322.639569694604	319.289172793216	299.563604448808	202.455606500628	187.197780714124	72.1012562250729	459.890285116547	400.535300175468	428.989202960715	72.4473557343269	72.9376396822792	56.0603584087867	284.277026655635	330.175424125332	349.179337534574
NV2.139	124.690210812023	-2.00609358307081	0.251851319893757	-3.99479178229136	6.47511333968106e-05	0.000352550743522349	191.101898972958	204.975765249966	180.365521003209	168.340158996378	142.8614642292	81.0341552264094	134.628303605546	141.293127362512	165.864246488859	42.4691395683986	46.0965882792004	55.3682552185548	119.842275943062	102.102440392171	94.0098216439239
NV2.140	213.269646736217	-2.61432774023596	0.314061763912711	-5.14016007591626	2.74504507346329e-07	1.91834442044013e-06	84.3826566893579	82.7786744278707	79.9881875753361	36.3525260291182	37.2988059317616	13.3993485020047	735.609050900706	831.786497603655	791.11166780812	10.4923756580749	17.505033523747	12.4578574241748	183.943958424235	141.882611973536	140.05544857156
NV2.141	383.705230546629	1.69686925178032	0.180262376660398	3.86586077855378	0.0001106980752664	0.000585795628586434	163.801627691107	191.179319511987	205.459854360177	525.713453344172	515.1457724915	793.113818475802	233.714735059229	240.812634461324	250.967367723981	639.535278206472	624.929696797768	563.371996848795	273.128907963257	254.593098120738	280.11089714312
NV2.142	187.517294610274	1.62733084675371	0.169804040077582	3.69444005258703	0.000220371874641757	0.00112624453819242	79.4189710017486	122.197090822095	108.219312601925	296.412904545118	261.091641522331	322.222428262494	113.087775028659	105.662686549357	109.418298730871	336.755294930596	327.927628011527	304.525403702051	104.513612741042	127.296549060369	94.0098216439239
NV2.145	19.9940179030575	2.76878106228008	0.537077017839332	3.29334714301481	0.000990021571712346	0.00464607960427079	2.48184284380464	7.88368327884483	9.41037500886307	29.0820208232946	33.0762995998641	51.6832013648753	1.07702642884437	1.2286358901088	5.2103951776605	45.9665981210902	48.4305927490334	49.1393265064674	4.1805445096417	5.30402287751537	5.75570336595452
NV2.153	403.600755154718	-4.76657721533892	0.293036733283166	-12.8536008886614	8.20978331633125e-38	2.57889472894655e-36	1747.21736203847	1963.03713643236	1880.5066059378	48.6564579158967	45.0400675402405	15.9516053595294	63.5445593018179	38.0877125933727	42.5515606175608	76.9440881592162	57.7666106283651	70.5945254036573	2.78702967309446	1.32600571937884	0
NV2.159	59.8450852917631	-4.26725140338688	0.559420354476072	-5.84042281844901	5.20685036230221e-09	4.23885780585501e-08	39.7094855008743	25.6219706562457	36.0731042006418	8.38904446825805	6.33375949784631	3.19032107190588	228.329602915007	245.727178021759	276.150944416007	1.99854774439523	0.583501117458233	2.76841276092774	11.1481186923779	3.97801715813653	7.67427115460603
NV2.164	294.290313496728	-2.97726199713312	0.187254552298198	-10.5592199114304	4.6047251457361e-26	9.80816969112899e-25	481.477511698101	488.788363288379	534.822979670385	89.4831409947526	103.45140513149	53.5973940080188	356.495747947487	374.733946483183	336.938888155379	55.4596999069675	64.1851229204057	72.6708349743531	491.910737301173	450.841944588807	459.496985382036
NV2.178	315.796639826023	2.77269112204784	0.274435666255739	6.45940502644404	1.05115430712031e-10	9.75310204702036e-10	109.201085127404	122.197090822095	92.5353542538202	437.90812124307	373.691810372932	782.904791045704	80.7769821633279	76.1754251867454	62.524742131926	691.497519560748	788.310009686073	726.708349743531	97.5460385583062	157.794680606082	137.177596888583
NV2.187	482.179669402128	-1.78757304016862	0.144887126996096	-5.43576959870177	5.45604198616854e-08	4.05756426544116e-07	791.707867173682	831.72858591813	813.997438266656	293.057286757815	285.019177403084	382.838528628706	429.733545108904	463.195730571016	424.647206979331	223.837347372265	247.404473802291	235.315084678858	487.730192791531	657.698836811906	664.783738767747
NV2.188	126.426632352251	-1.68619136686562	0.219473528820801	-3.1265336214004	0.00176880278073843	0.00800875784659024	186.138213285348	181.324715413431	210.165041864609	101.787072881531	98.525147744276	65.7206140812612	141.090462178613	120.406317230662	138.075472208003	71.9477187982281	51.9315994537828	55.3682552185548	133.777424308534	196.248846468069	143.892584148863
NV2.193	62.853224700704	-2.4724940216986	0.322719216753431	-4.56277142871116	5.04827652734097e-06	3.12216744195078e-05	94.3100280645765	72.9240703293147	86.2617709145782	31.8783689793806	28.1500422126503	10.2090274300988	100.163457882527	104.434050659248	101.60270596438	17.4872927634582	14.5875279364558	13.1499606144068	93.3654940486645	99.4504289534132	74.8241437574088
NV2.194	1139.27452295017	-2.63335929010894	0.141683187218676	-11.5282506144359	9.50556054360487e-31	2.40984041009678e-29	1858.90029000968	1840.84004561027	1786.40285584917	466.990142066365	444.770666959874	300.528244973534	1490.60457752061	1313.4117665263	1477.14703286675	277.298499534838	290.5835564942	316.983261126226	1684.7594373856	1800.71576691647	1739.18170041259
NV2.216	674.162184878184	1.57626258284068	0.114745131449414	5.02210922207825	5.11071048396668e-07	3.47904950457258e-06	183.656370441544	143.877219838918	163.113166820293	465.871602803931	453.919430678986	440.902372137393	1150.26422600579	1154.91773670227	1170.60211658106	490.643471249028	452.213366030131	510.772154391168	1095.30266152612	1100.58474708444	1135.79213088169
NV2.229	137.128801987993	-4.40434894748878	0.396480190387913	-8.58642885577207	8.97143260451866e-18	1.28668686370264e-16	69.49159962653	55.1857829519138	83.1249792449571	2.23707852486881	2.11125316594877	1.27612842876235	312.337664364868	328.045782659049	296.124125930372	1.49891080829642	3.5010067047494	5.53682552185548	281.489996982541	308.95933261527	306.011562289916
NV2.235	131.197246649202	-4.14860232209612	0.298898811692077	-10.5340074932776	6.02150975313461e-26	1.2782178667092e-24	136.501356409255	167.528269675453	164.681562655104	24.607863773557	27.446291157334	12.1232200732424	297.259294361046	315.759423757961	297.860924322925	5.99564323318568	6.41851229204057	15.2262701851026	183.943958424235	159.120686325461	153.485423092121
NV2.236	19.0088161795441	-4.94753025244726	0.756218570786237	-5.22009165728769	1.78834601168644e-07	1.26973927823658e-06	42.191328344679	29.5638122956681	20.3891458525367	3.91488741852043	0.703751055316257	1.91419264314353	40.9270042960861	27.0299895823935	21.7099799069188	0.999273872197613	0.583501117458233	1.38420638046387	33.4443560771336	34.4761487038499	25.9006651467954
NV2.238	154.579425183715	-3.25695654931869	0.344218006086554	-6.55676492632744	5.49875892737704e-11	5.21083508511571e-10	208.47479887959	94.6041993461379	131.745250124083	29.6412904545118	38.0025569870779	12.1232200732424	327.416034368689	307.158972527199	336.938888155379	14.4894711468654	18.6720357586635	11.7657542339429	273.128907963257	271.831172472663	242.698825264416
NV2.250	123.699043770044	4.92518789442857	0.445723769865325	8.80632391585166	1.29316993255271e-18	1.92879758365315e-17	2.48184284380464	7.88368327884483	12.5471666784841	224.267122118099	206.90281026298	301.166309187915	54.9283478710629	39.3163484834815	57.3143469542655	254.814837410391	219.396420164296	285.146514375557	61.3146528080782	57.0182459332903	70.9870081801058
NV2.252	1237.6262380969	-2.13922862072374	0.157810300638448	-7.2189750359438	5.23808691606609e-13	5.66265722867191e-12	2002.84717495035	1858.57833298767	1863.25425175489	819.330009733203	810.017464669012	489.395252430362	1565.99642753972	1512.45078072393	1570.93414606464	418.196115514701	434.124831388926	447.09866088983	1613.69018072169	1576.62080034144	1581.85914174317
NV2.255	47.6836664142646	3.52472994043563	0.413804830234983	6.10125778136021	1.05237024566275e-09	9.09924764310530e-09	14.8910570628279	17.7382873774009	1.56839583481051	21.8115156174709	24.631286936069	21.0561190745788	9.69323785959934	24.5727178021759	13.0259879441513	123.909960152504	127.786744723353	110.044407246878	68.2822269908144	72.9303145658364	63.3127370254998
NV2.256	58.9808706320369	2.71324532332601	0.331039810474006	5.17534528814787	2.27489871554732e-07	1.60118201182186e-06	17.3728999066325	13.7964457379785	23.5259375221577	87.2460624698838	82.3388734720021	119.31800808928	18.3094492903543	30.7158972527199	26.9203750845793	120.912138535911	118.450726844021	127.346987002676	34.8378709136808	35.8021544232288	27.8192329354469
